frame_index,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43,anger,disgust,fear,happiness,sadness,surprise,neutral,Identity,frame
,0.47021982,0.4385881,0.4379808,0.26965183,0.12824109,0,0.15961711,0.12660687,0,0.021647742,0.37121147,0.4388194,0.6509242,0,0.68093485,0.45111528,0.012497683,0.13616714,0.18937765,0.13245058,0.000344278,1.65E-05,3.45E-06,0.000306232,0.000123402,9.81E-06,0.99919635,Person_0,29
,0.43218932,0.44309855,0.21743596,0.26897284,0.11201349,0,0.09016976,0.052510805,0,0.028003957,0.44103363,0.40651202,0.6424597,0,0.4844704,0.6458035,0.038559068,0.17383808,0.26423395,0.026395505,0.000278009,9.31E-06,4.85E-06,0.000484376,0.000167736,3.29E-05,0.99902284,Person_0,0
,0.49304116,0.46709564,0.26983625,0.30335942,0.11055313,0,0.08268193,0.014311818,0,0.031019937,0.33745113,0.41541526,0.6600439,0,0.6706611,0.5325798,0.01800774,0.0778607,0.37289792,0.032299954,0.000142654,1.01E-05,1.35E-06,0.000347491,0.000124968,4.98E-06,0.9993685,Person_0,1
,0.49640894,0.49353188,0.38410553,0.33082324,0.10487821,0,0.09149167,0.06853156,1,0.021858,0.35764477,0.56828034,0.6591137,0,0.72162735,0.4001483,0.005824947,0.15017107,0.23293221,0.042231925,0.000110158,1.35E-05,4.23E-06,0.000822692,0.000101007,1.80E-05,0.9989304,Person_0,2
,0.5208383,0.36703944,0.3408336,0.24314451,0.101949096,0,0.13355224,0.028578814,0,0.02896669,0.293656,0.42683756,0.676573,0,0.60506433,0.55035156,0.005192434,0.17131864,0.11304234,0.0887513,0.000591826,3.37E-05,5.03E-06,0.00053323,0.000209442,1.17E-05,0.99861515,Person_0,3
,0.4580982,0.45291758,0.26406872,0.35436326,0.11005565,0,0.10464363,0.016713634,0,0.024233295,0.34875318,0.32961836,0.5931529,0,0.60880744,0.64545494,0.003046376,0.17218286,0.1502637,0.036246154,0.000648366,4.22E-05,2.79E-06,0.00105815,0.000154154,7.69E-06,0.9980866,Person_0,4
,0.359136,0.4280987,0.2826859,0.32074493,0.10361801,0,0.09041006,0.00574129,0,0.02323285,0.3645926,0.24215859,0.60994273,0,0.7059926,0.3947159,0.019126577,0.12968741,0.40410236,0.051125757,0.000464954,4.74E-05,2.08E-06,0.001291648,0.000123714,4.60E-06,0.99806565,Person_0,5
,0.38733065,0.44029123,0.38857484,0.33870047,0.0901486,0,0.0954048,0.019337546,0,0.02419621,0.31020904,0.3287643,0.6457858,0,0.6358112,0.5434303,0.005976431,0.090369135,0.3271326,0.052956704,0.000556015,5.23E-05,3.32E-06,0.001445339,0.000127408,7.15E-06,0.9978085,Person_0,6
,0.5893628,0.5555165,0.36329997,0.3268182,0.1011254,0,0.124659605,0.06613943,0,0.031856224,0.2774912,0.4280809,0.655818,0,0.61222345,0.47800067,0.00338102,0.11144332,0.2655788,0.033789996,0.000303765,1.00E-05,1.09E-06,0.000849841,0.000125582,5.38E-06,0.9987043,Person_0,7
,0.548713,0.4347813,0.4480981,0.37361518,0.12467989,0,0.09549173,0.01139229,0,0.032626424,0.27434918,0.40941,0.6572762,0,0.6558711,0.5039324,0.006719688,0.06610367,0.3102317,0.03399216,0.000565139,3.48E-05,2.71E-06,0.000732294,0.000112605,6.45E-06,0.998546,Person_0,8
,0.49805743,0.56636286,0.33796307,0.32659376,0.1065377,0,0.08992446,0.057683736,0,0.02265538,0.23178332,0.47285187,0.66589373,0,0.6528303,0.5257917,0.06466771,0.08895194,0.36045098,0.038424484,0.000822064,2.13E-05,1.79E-06,0.001214127,0.000151321,4.78E-06,0.9977847,Person_0,9
,0.41213495,0.4089034,0.31069535,0.39276466,0.08793159,0,0.09581402,0.013772774,0,0.029024137,0.29956976,0.25690132,0.65446514,0,0.67136824,0.39173636,0.00193702,0.06870851,0.3854772,0.03723329,0.00020905,2.01E-05,1.51E-06,0.000468286,0.000101919,3.26E-06,0.9991959,Person_0,10
,0.4852442,0.5622956,0.15850364,0.3171611,0.108699836,0,0.085716076,0.02757241,0,0.02906199,0.27430123,0.2047876,0.6673047,0,0.64440036,0.49859798,0.002475809,0.069044456,0.45367256,0.03311562,0.000248125,2.12E-05,2.25E-06,0.00070213,0.000133554,5.24E-06,0.9988875,Person_0,11
,0.5141608,0.3548212,0.48116326,0.24525501,0.12405111,0,0.12193323,0.037153948,0,0.027829543,0.29791474,0.27325106,0.6494303,0,0.68511033,0.4187386,0.000585836,0.087525256,0.65595853,0.03831773,0.000280634,2.77E-05,1.61E-06,0.000519637,8.91E-05,2.64E-06,0.99907863,Person_0,12
,0.5750259,0.53676814,0.43704104,0.32728896,0.10714322,0,0.08037438,0.050686512,0,0.043494057,0.26968035,0.40605667,0.6392047,0,0.73867816,0.6093776,0.007651853,0.08649968,0.2606947,0.0335061,0.000424803,2.68E-05,1.88E-06,0.000700447,8.97E-05,3.44E-06,0.99875295,Person_0,13
,0.55439264,0.60901237,0.3332127,0.27026933,0.10522007,0,0.09336645,0.036345296,0,0.030231483,0.30500007,0.36926508,0.6309428,0,0.5359388,0.49582475,0.014217974,0.08804944,0.5532315,0.042285826,0.000664988,1.50E-05,1.86E-06,0.000966099,0.000119612,4.39E-06,0.99822813,Person_0,14
